document,topicId,distribution,period
229,1,0.479,0
230,0,0.2417,0
230,1,0.7583,0
231,0,0.1021,0
231,1,0.8979,0
232,0,0.5176,0
232,1,0.4824,0
233,0,0.2499,0
233,1,0.7501,0
234,0,0.2764,0
234,1,0.7236,0
235,0,0.0735,0
235,1,0.9265,0
236,0,0.2568,0
236,1,0.7432,0
237,0,0.445,0
237,1,0.555,0
238,0,0.1761,0
238,1,0.8239,0
239,0,0.2416,0
239,1,0.7584,0
240,0,0.0927,0
240,1,0.9073,0
241,0,0.2535,0
241,1,0.7465,0
242,0,0.0772,0
242,1,0.9228,0
243,0,0.2893,0
243,1,0.7107,0
244,0,0.6664,0
244,1,0.3336,0
245,0,0.2651,0
245,1,0.7349,0
246,0,0.2925,0
246,1,0.7075,0
247,0,0.1545,0
247,1,0.8455,0
248,0,0.3343,0
248,1,0.6657,0
249,0,0.3492,0
249,1,0.6508,0
250,0,0.4445,0
250,1,0.5555,0
251,0,0.478,0
251,1,0.522,0
252,0,0.2332,0
252,1,0.7668,0
253,0,0.6737,0
253,1,0.3263,0
254,0,0.1381,0
254,1,0.8619,0
255,0,0.3778,0
255,1,0.6222,0
256,0,0.1542,0
256,1,0.8458,0
257,0,0.1887,0
257,1,0.8113,0
258,0,0.1985,0
258,1,0.8015,0
259,0,0.3612,0
259,1,0.6388,0
260,0,0.4782,0
260,1,0.5218,0
261,0,0.2325,0
261,1,0.7675,0
262,0,0.541,0
262,1,0.459,0
263,0,0.576,0
263,1,0.424,0
264,0,0.1493,0
264,1,0.8507,0
265,0,0.129,0
265,1,0.871,0
266,0,0.1432,0
266,1,0.8568,0
267,0,0.3711,0
267,1,0.6289,0
268,0,0.2771,0
268,1,0.7229,0
269,0,0.3501,0
269,1,0.6499,0
270,0,0.1366,0
270,1,0.8634,0
271,0,0.2442,0
271,1,0.7558,0
272,0,0.1167,0
272,1,0.8833,0
273,0,0.1187,0
273,1,0.8813,0
274,0,0.3431,0
274,1,0.6569,0
275,0,0.1647,0
275,1,0.8353,0
276,0,0.0772,0
276,1,0.9228,0
277,0,0.1055,0
277,1,0.8945,0
278,0,0.3626,0
278,1,0.6374,0
279,0,0.2488,0
279,1,0.7512,0
280,0,0.4715,0
280,1,0.5285,0
281,0,0.3883,0
281,1,0.6117,0
282,0,0.0648,0
282,1,0.9352,0
283,0,0.0012,0
283,1,0.9988,0
284,0,0.2767,0
284,1,0.7233,0
285,0,0.2736,0
285,1,0.7264,0
286,0,0.4286,0
286,1,0.5714,0
287,0,0.2594,0
287,1,0.7406,0
288,0,0.2002,0
288,1,0.7998,0
289,0,0.2095,0
289,1,0.7905,0
290,0,0.4506,0
290,1,0.5494,0
291,0,0.2784,0
291,1,0.7216,0
292,0,0.4483,0
292,1,0.5517,0
293,0,0.2329,0
293,1,0.7671,0
294,0,0.3091,0
294,1,0.6909,0
295,0,0.2334,0
295,1,0.7666,0
296,0,0.3163,0
296,1,0.6837,0
297,0,0.2848,0
297,1,0.7152,0
298,0,0.4792,0
298,1,0.5208,0
299,0,0.5623,0
299,1,0.4377,0
300,0,0.5481,0
300,1,0.4519,0
301,0,0.2423,0
301,1,0.7577,0
302,0,0.4165,0
302,1,0.5835,0
303,0,0.3851,0
303,1,0.6149,0
304,0,0.1611,0
304,1,0.8389,0
305,0,0.3384,0
305,1,0.6616,0
306,0,0.1679,0
